Title,Romanised Title,A.K.A,Publisher(s),Year Release,Region,Decision,Platform,Rating,Consumer Advice,Decision Date,More Info
CASTLEVANIA: LORDS OF SHADOW: MIRROR OF FATE,CASTLEVANIA: LORDS OF SHADOW: MIRROR OF FATE,,KONAMI,2013,US,Approved,Nintendo 3DS,Age Advisory,,18/03/2013,"‘Castlevania: Lords of Shadow: Mirror of Fate’ is an action-adventure game where the player takes on the roles of several members from the Belmont family. In each chapter of the game, the player plays as a different member of the family to battle the forces of evil, eventually culminating in the defeat of Dracula. This game is rated with the advisory ‘Suitable for 16 & Above’. The violence in the game is considered moderate as there are frequent depictions of blood spurting during gameplay. Although realistic injuries such as dismemberments and decapitations can occur to enemies, they do not depict excessive graphic details. Dismembered body parts do not stay on the screen and will fade away after several seconds. Under the Age Advisory guidelines “realistic but not excessively graphic violence with depiction of blood may be included in the gameplay.” In one of the stages, the player will come across several female characters who are depicted in revealing clothing. However, no details are depicted and the scene occurs in a non-sexual context. According to the classification guidelines, “nudity without details” can be allowed under the Age Advisory rating."
FERRARI CHALLENGE + SUPERCAR CHALLENGE,FERRARI CHALLENGE + SUPERCAR CHALLENGE,FERRARI CHALLENGE TROFEO PIRELLI + SUPERCAR CHALLENGE,SYSTEM 3,2012,EURO,Approved,Sony Playstation 3,General,,23/04/2013,
GAME & WARIO,GAME & WARIO,,NINTENDO OF AMERICA,2013,ASIA,Approved,Nintendo Wii U,General,,19/06/2013,
RUNE FACTORY 4,RUNE FACTORY 4,,XSEED GAMES,2013,ASIA,Approved,Nintendo 3DS,General,,16/07/2013,
TEENAGE MUTANT NINJA TURTLES (2013),TEENAGE MUTANT NINJA TURTLES (2013),,ACTIVISION,2013,ASIA,Approved,"Nintendo Wii,Nintendo 3DS,Xbox 360",General,,02/08/2013,
AIRLINE TYCOON 2 GOLD EDITION,AIRLINE TYCOON 2 GOLD EDITION,,KALYPSO,2013,US,Approved,PC,General,,21/02/2013,
THE LAST OF US,THE LAST OF US,,SONY COMPUTER ENTERTAINMENT INC,2013,ASIA,Approved,Sony Playstation 3,Mature 18,STRONG VIOLENCE AND GORE,10/06/2013,"‘The Last Of Us’ is a survival-horror action game set in a post-apocalyptic America. Most of the population has mutated into flesh-eating zombies called The Infected due to a viral plague, and cities are either abandoned or turned into quarantine zones governed under the military’s harsh martial laws. Many survivors outside the quarantine zones have turned into bandits, preying on other survivors for their food supplies and weapons. The main protagonist Joel unwillingly undertakes a mission to escort Ellie, a 14-year old girl who is immune to the virus, across various cities to the medical facility of a group of rebels known as the Fireflies. The game is rated M18 for strong violence and gore. During gameplay, the player will frequently engage the Infected, the military and bandits in melee and gun-based combat. Stealth can be employed to silently execute enemies with strangleholds or knife attacks. Blood splatters when characters take damage, and can pool under bodies or stain the surrounding surfaces. Enemies are frequently dismembered and decapitated when killed with explosives, powerful firearms or certain bladed weapons. Several cinematic scenes depict characters being shot in the head at point-blank range, while another shows a man chopping up a human body on a table. The guidelines at M18 state that “Realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent.” Coarse language such as ‘motherf***er’ and variations of ‘f**k’ can be heard in the dialogue. These are acceptable under M18 where “Frequent use of strong coarse language” is permitted."
SUPER BLACK BASS 3D,SUPER BLACK BASS 3D,,RISING STAR GAMES,2013,ASIA,Approved,Nintendo 3DS,General,,04/04/2013,
BATMAN: ARKHAM ORIGINS,BATMAN: ARKHAM ORIGINS,,WARNER BROS,2013,ASIA,Approved,"PC,Nintendo Wii U,Sony Playstation 3,Xbox 360",General,,16/08/2013,
FINAL FANTASY XIV: A REALM REBORN,FINAL FANTASY XIV: A REALM REBORN,,SQUARE ENIX,2013,EURO,Approved,"PC,Sony Playstation 3",General,,20/08/2013,
RIDE TO HELL: RETRIBUTION,RIDE TO HELL: RETRIBUTION,,KOCH MEDIA,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",Mature 18,VIOLENCE AND SEXUAL SCENES,17/06/2013,"'Ride to Hell: Retribution’ is an action game set in the late 1960s, where the main character Jake Conway is a Vietnam war veteran who has just returned home. His life is thrown into turmoil when his brother is murdered by a biker gang called The Devil’s Hand. Jake goes on a revenge mission to hunt down those responsible for the murder. This game is rated M18 for violence and sexual scenes. The player can utilize a variety of melee weapons and firearms, employ Rage Attacks and use elements in the surrounding environment to kill enemies. There are frequent blood splatter effects, with the blood staining surrounding surfaces. Violence and gore are frequently depicted during combat and in cut scenes. Enemies can be killed using Environmental Attacks, such as throwing them into corn harvesting machines or impaling them on poles. Some scenes depict character’s throats being slit, or being shot in the knees and groin. A couple of scenes depict some dismembered fingers. The guidelines at M18 state that “Realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent.” Over the course of the game the player may encounter sexual scenes. Thrusting motions of the characters’ upper body are depicted, but the characters are fully clothed. One scene shows two female characters off camera performing implied oral sex on the main character. No nudity or genitalia are ever depicted. These scenes are permitted under M18 which allows “Portrayal of sexual activity with some nudity, both topless and frontal, if not detailed.” Coarse language such as ‘motherf***er’ and variations of ‘f**k’ can be heard in the dialogue. In a strip club, the player can encounter a topless pole-dancer with her bare breasts exposed, but her nipples are covered up with ‘pasties’. A mission in the game requires the player to deliver drugs in exchange for information. Drugs dropped by slain enemies can be picked up and sold by the player to fund weapon purchases."
MOTOGP 13,MOTOGP 13,,MILESTONE,2013,EURO,Approved,Sony Playstation 3,General,,24/06/2013,
WWE 2K14,WWE 2K14,,TAKE 2/2K,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",Age Advisory,,05/08/2013,
BATMAN: ARKHAM ORIGINS BLACKGATE,BATMAN: ARKHAM ORIGINS BLACKGATE,,WARNER BROS,2013,ASIA,Approved,"Nintendo 3DS,Sony PS Vita",General,,23/08/2013,
THE BUREAU: XCOM DECLASSIFIED,THE BUREAU: XCOM DECLASSIFIED,THE BUREAU,TAKE 2 / 2K MARIN,2013,ASIA,Approved,"Macintosh,PC,Sony Playstation 3,Xbox 360",Mature 18,VIOLENCE AND COARSE LANGUAGE,07/06/2013,"“The Bureau: XCOM Declassified” is a tactical third-person shooter game set in a fictional 1962 where the United States is invaded by extraterrestrials. The main character is Central Intelligence Agency special agent William Carter, who has been ordered to deliver a mysterious package to a remote military base. Carter is caught in the middle of a surprise alien attack, and subsequently recruited and assigned to a secret government organization known as XCOM to help repel the invasion. The game is rated M18 for violence and coarse language. The player controls Carter and a squad of elite agents in a series of tactical combat missions throughout the United States, in space, and on the alien home world. During gameplay, the player engages in third-person cover-based shooting with a tactical overlay that allows the player to issue specific orders to agents. Brief blood splatter is depicted when characters take damage. The player may also encounter bloodied corpses and blood stains when exploring certain areas. Humanoid alien enemies can be decapitated when killed with certain weapons. A cinematic scene depicts a man being shot at point-blank range, while another shows an alien’s head being blown in half by a sniper shot. The guidelines at M18 state that “Realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent.” Coarse language such as ‘c**t’ and variations of ‘f**k’ can be heard in the dialogue. These are acceptable under M18 where “Frequent use of strong coarse language” is permitted."
TOM CLANCY’S GHOST RECON: FUTURE SOLDIER / ADVANCED WARFIGHTER 2,TOM CLANCY’S GHOST RECON: FUTURE SOLDIER / ADVANCED WARFIGHTER 2,,UBISOFT,2013,EURO,Approved,Sony Playstation 3,Age Advisory,,14/03/2013,"‘Tom Clancy’s Ghost Recon: Future Soldier’ is a third-person shooter in which the player takes on the role of a new member in the Ghost team (a special-ops military organization) which has been tasked to track down the launch site of a missile attack. The player uses various weapons such as assault rifles, machine guns, pistols and grenades to kill human enemies that appear on the screen. A small splatter of blood can be seen when the enemies are shot at. The player can perform stealth kills by sneaking up on the enemy and breaking their neck. A bone-crunching sound effect can be heard but no blood is depicted. When the Ghost team breaches a room, the game goes into slow-motion and blood splatters are depicted when the enemies are shot at. Some violent sequences can be encountered in the cut-scenes. For example, a piece of glass falls from above and stabs into a man’s body. In another scene, a group of civilians attacks a terrorist and stabs a machete through his chest, resulting in a large spurt of blood. Coarse language, such as the word ‘f**k’, can be heard in the game’s dialogue."
RAYMAN LEGENDS,RAYMAN LEGENDS,,UBISOFT,2013,ASIA,Approved,"PC,Nintendo Wii U,Sony Playstation 3,Sony PS Vita,Xbox 360",General,,15/07/2013,
DISNEY PLANES,DISNEY PLANES,,DISNEY INTERACTIVE,2013,ASIA,Approved,"Nintendo DS,Nintendo Wii,Nintendo 3DS,Nintendo Wii U",General,,15/07/2013,
NEW SUPER LUIGI U,NEW SUPER LUIGI U,,NINTENDO OF AMERICA,2013,ASIA,Approved,Nintendo Wii U,General,,15/07/2013,
PIKMIN 3,PIKMIN 3,,NINTENDO OF AMERICA,2013,ASIA,Approved,Nintendo Wii U,General,,15/07/2013,
SWEET FUSE: AT YOUR SIDE,SWEET FUSE: AT YOUR SIDE,,AKSYS,2013,US,Approved,Sony Playstation Portable (PSP),General,,15/07/2013,
MARIO & LUIGI: DREAM TEAM,MARIO & LUIGI: DREAM TEAM,,NINTENDO OF AMERICA,2013,ASIA,Approved,Nintendo 3DS,General,,15/07/2013,
PHINEAS AND FERB: QUEST FOR COOL STUFF,PHINEAS AND FERB: QUEST FOR COOL STUFF,,MAJESCO SALES INC,2013,ASIA,Approved,"Nintendo DS,Nintendo Wii,Nintendo 3DS,Nintendo Wii U,Xbox 360",General,,15/07/2013,
NBA 2K14,NBA 2K14,,TAKE 2/2K SPORTS/VISUAL CONCEPTS,2013,ASIA,Approved,"PC,Sony Playstation 3,Xbox 360",General,,23/07/2013,
FABLE ANNIVERSARY,FABLE ANNIVERSARY,,LIONHEAD STUDIOS,2013,ASIA,Approved,Xbox 360,Mature 18,VIOLENCE AND MATURE CONTENT,31/07/2013,"“Fable Anniversary” is a role-playing game set in the fictional kingdom of Albion. The main protagonist is a young boy who becomes orphaned on his sister's birthday, when the village of Oakvale is raided by bandits and his entire family is apparently killed. An old Hero, Maze, rescues the boy, seeing great potential in him, and eventually trains the boy to become the Hero of Oakvale. The game is rated M18 for mature content. The story is progressed by completing main quests, but the player can also undertake a variety of side quests to earn experience and gold. During combat, the player can engage in melee combat with weapons such as swords, axes and bows and arrows, as well as magic powers to battle monsters and bandits. The level of violence is moderate. Blood splatter is depicted when characters are attacked, and the blood temporarily stains surrounding surfaces Humanoid enemies can sometimes be decapitated, and their severed heads can be kicked about. The guidelines at M18 state that “realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent”. The main character is male and can choose to romance other characters and get married and have sexual relations with a male or female partner, or visit a brothel to engage female prostitutes. The sexual scenes in the game are optional and implied. No actual sex is depicted as the screen blanks out."
RAGNAROK ODYSSEY ACE,RAGNAROK ODYSSEY ACE,,GUNGHO ONLINE ENTERTAINMENT CO.LTD,2013,ASIA,Approved,Sony PS Vita,General,,19/08/2013,"‘Ragnarok Odyssey Ace’ is an action role-playing game set in a fantasy world where humans and giants are at war. The player character is a mercenary undertaking a variety of monster-hunting quests, which usually require the player to kill a quota of creatures or collect a number of items. During the course of these missions, the player can earn items, equipment, skill cards and money to level up. The player can also customise the main character’s appearance by purchasing outfits, accessories, colour dyes and different hairstyles. Depending on the character class chosen, the player will use a variety of weapons such as swords, crossbows, hammers and magical staves in melee combat against monsters, and gigantic boss enemies. The combat violence is mild, and there is no depiction of blood or gore. Fallen enemies will disappear from the battlefield within a few seconds."
DEADLY PREMONITION: THE DIRECTOR'S CUT,DEADLY PREMONITION: THE DIRECTOR'S CUT,,AKSYS GAMES,2013,US,Approved,Sony Playstation 3,Age Advisory,,07/05/2013,"This is a survival-horror action game set in the fictitious town of Greenvale where a gruesome murder of a young woman has occurred. The main character, FBI special agent Francis York Morgan is sent to investigate the mysterious and seemingly ritualistic homicide. The player will control York to explore the town and various locales on foot and in vehicles. The player will have to search for clues in order to reconstruct crime scenes in ‘profiling’ sequences. In combat sequences, the player enters an alternate and surreal world where zombie-like enemies roam about and attack him. York will use firearms such as pistols and rifles, and melee weapons like knives and clubs to defend himself against enemies. This game is rated with the advisory “Suitable for 16 & Above”. The level of violence during gameplay is considered mild. There are limited depictions of unrealistic blood and blood effects during combat, without any dismemberment or decapitation. Some scenes depict gore, but there are no details such as innards shown. Age Advisory guidelines state that “realistic but not excessively graphic violence with depiction of blood may be included in the gameplay.” A scene depicts a topless woman strung up on a tree, with her hair covering her bare breasts and nipples. The guidelines at Age Advisory permit for “Nudity without details, eg. no nipples, genitalia or pubic region” and “Still or moving images which may be mildly suggestive”."
DYNASTY WARRIORS 8,DYNASTY WARRIORS 8,,TECMO KOEI,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",Age Advisory,,07/06/2013,"‘Dynasty Warrior 8’ is an action, hack-and-slash game set in a fictional period of the Three Kingdoms era. The player takes on the role of a warlord to conquer other warring states and to unite the country. This game is rated with the advisory “Suitable for 16 & Above”. The player selects a character from a roster of warlords, each possessing their own unique attacks and weapons, and engages enemy soldiers in combat on battlefields. A small portion of the line-up comprises of female characters, some of whom are dressed suggestively in revealing clothing where the side-view and underside of their breasts are visible. This is acceptable under the Age Advisory guidelines where “still or moving images which may be mildly suggestive may be featured”."
METRO: LAST LIGHT,METRO: LAST LIGHT,,KOCH MEDIA,2013,ASIA,Approved,"PC,Sony Playstation 3,Xbox 360",Mature 18,NUDITY AND VIOLENCE,17/04/2013,"‘Metro: Last Light’ is a first-person shooter set in the Metro railway tunnels beneath the ruins of a post-apocalyptic Moscow in the year 2034. The remnants of humanity take refuge in station-cities in the Metro. Mankind and animals exposed to the poisonous air above ground have become mutants that stalk the tunnels and the desolate surface. The survivors struggle against the mutants, as well as a radical survivor faction called the Reich, for limited resources. The main character Artyom will traverse and explore the tunnels and the surface, and combat aggressive mutant creatures and human enemies, in order to complete mission objectives and progress the story. This game is rated M18 for nudity and violence. Firearms like pistols, shotguns, rifles and grenades are used in combat. The player can also execute stealth attacks, stabbing enemies with a combat knife to instantly kill them. Brief blood splatter occurs whenever characters take damage. Blood stains may be left on surrounding surfaces, and blood pools under the bodies of fallen characters. Certain areas in the game are pre-rendered with blood and dead bodies when the player enters the area. Dismemberments can occur when enemies are killed with explosives. The guidelines at M18 state that “Realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent.” In a theatre, several female dancers clad in underwear can be seen dancing on stage or standing around in the dressing room and bars. The player character can encounter a dancer who performs a private dance for him while topless. In another scene, the player can see the body shapes of two women bathing in a bathroom, but the tinted glass obscures all details. M18 guidelines allow for “Depiction of topless nudity or occasional full frontal nudity, if not exploitative. Nudity should not titillate or be the main feature of the game.” Coarse language such as ‘motherf***er’ and variations of ‘f**k’ can be heard in the dialogue of background and combat chatter, and during some cinematic scenes."
THE SMURFS 2,THE SMURFS 2,,UBISOFT,2013,ASIA,Approved,"Nintendo Wii,Nintendo Wii U,Sony Playstation 3,Xbox 360",General,,02/07/2013,
INJUSTICE: GODS AMONG US,INJUSTICE: GODS AMONG US,,WARNER BROS,2013,EURO,Approved,"Nintendo Wii U,Sony Playstation 3,Xbox 360",General,,28/02/2013,
WARGAME: AIRLAND BATTLE,WARGAME: AIRLAND BATTLE,,FOCUS HOME,2013,EURO,Approved,PC,General,,07/05/2013,
DUNGEONS & DRAGONS ミスタラ英雄戦記,DUNGEONS & DRAGONS: CHRONICLES OF MYSTARA,,CAPCOM,2013,ASIA,Approved,Sony Playstation 3,General,,27/06/2013,
Z/X: ZILLIONS OF ENEMY X - 絶界の聖戦,Z/X: ZILLIONS OF ENEMY X - ZETSUKAI NO CRUSADE,,NIPPON ICHI SOFTWARE INC,2013,"ASIA,JP",Approved,Sony Playstation 3,General,,20/05/2013,
DRAGON'S DOGMA: DARK ARISEN,DRAGON'S DOGMA: DARK ARISEN,,CAPCOM,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",Mature 18,"VIOLENCE, NUDITY AND SEXUAL REFERENCES",19/04/2013,"‘Dragon’s Dogma: Dark Arisen’ is a role-playing game and a re-release of ‘Dragon’s Dogma’, consisting of the original base game with additional content. The main character known as the Arisen and his companions are on a quest to destroy a mysterious great dragon that has once again awakened to destroy the world. Gameplay consists of undertaking and completing various quests to earn rewards, experience, and level up. The Arisen can recruit companions called Pawns throughout the game, who will aid and advise the player in combat and on quests. Weapons like swords, axes, bows, and magical staffs are used to battle human enemies such as bandits and rogues, and mostly fantasy creatures such as ogres, harpies, and goblins. Blood splattering occurs frequently when characters are attacked, and may leave blood stains on the ground. A scene shows a character’s heart being extracted out and devoured by a dragon. The player will frequently encounter Harpies and Succubi, which are winged female monsters with topless upper torsos. Depending on the gender of the main character, some scenes of intimacy may depict characters of the same sex embracing and kissing."
神次元アイドル ネプテューヌ PP,KAMI JIGEN IDOL NEPTUNE PP,HYPERDIMENSION IDOL NEPTUNIA PP/GOD DIMENSION IDOL NEPTUNIA,IDEA FACTORY CO LTD,2013,ASIA,Approved,Sony PS Vita,Age Advisory,,17/06/2013,"‘神次元アイドル ネプテューヌ PP’ [Romanised title: Kami Jigen Idol Neptune PP] is a simulation game in which the player takes on the role of a music producer who must ensure the successful launch of the music careers of various female characters who are put under his charge. This game is classified with the Age Advisory rating and is ‘Suitable for 16 & Above’. During game play, the player may come across scenes that depict scantily-clad female characters who are dressed in clothing that reveal the cleavage and parts of the breasts. While details such as the nipples are not depicted, these scenes of partial nudity are suggestive and unsuitable for viewing by the young. According to the Age Advisory guidelines, “Still or moving images which are mildly suggestive (e.g. scantily-clad women in bikinis or lingerie) may be featured”."
BORDERLANDS 2: BONUS CONTENT PACK,BORDERLANDS 2: BONUS CONTENT PACK,BORDERLANDS 2: ADD-ON CONTENT PACK,TAKE2/2K GAMES/GEARBOX,2013,ASIA,Approved,"PC,Sony Playstation 3,Xbox 360",Mature 18,VIOLENCE AND SEXUAL REFERENCES,06/02/2013,
DISGAEA D2,DISGAEA D2,DISGAEA DIMENSION 2,NIPPON ICHI SOFTWARE INC.,2013,"ASIA,JP",Approved,Sony Playstation 3,General,,06/02/2013,
DEAD ISLAND: RIPTIDE,DEAD ISLAND: RIPTIDE,,TECHLAND / DEEP SILVER,2013,ASIA,Approved,"PC,Sony Playstation 3,Xbox 360",Mature 18,STRONG VIOLENCE AND COARSE LANGUAGE,28/03/2013,"‘Dead Island: Riptide’ is an open world, action role-playing game in which the player takes on the role of one of the survivors who has managed to escape from the island Banoi, where a zombie infection had broken out. Despite the group’s successful escape from Banoi, their fate takes a turn for the worse as they find themselves held captive on a military ship. When a zombie outbreak overwhelms the ship’s crew, the survivors escape to another island, Palanai, where they relive their nightmare once again as the island, too, has been overrun by zombies. This game is classified M18 with the consumer advice “Strong Violence and Coarse Language”. During combat sequences against enemies, which include zombies and humans, realistic injuries such as dismemberments and decapitations will occur frequently. Explosive weapons can cause zombies to blow up into pieces, which are accompanied by blood effects such as blood splatters that stain the ground. Dismembered body parts and blood stains will remain visible until the player leaves the vicinity. Various means of transportation, such as speedboats and cars, can be driven into zombies, killing them instantly and creating blood splatters. Under the M18 guidelines “depictions of realistic violence such as killing, maiming or causing other serious injury to humanoid characters if it is not sadistic, cruel or abhorrent.” are allowed. Strong coarse language, such as the word ‘mother**ker’ is used frequently in the game’s dialogues. “Frequent use of strong coarse language, such as “mother**ker”, “c*nt”, and “c**ksucker”” is allowed under the guidelines for an M18 rating. Other coarse language, such as the word ‘f**k’ can also be heard during game play."
SPELLFORCE: COMPLETE COLLECTION,SPELLFORCE COMPLETE COLLECTION,,NORDIC GAMES,2012,EURO,Approved,PC,General,,28/03/2013,
MADDEN NFL 25,MADDEN NFL 25,,ELECTRONIC ARTS,2013,ASIA,Approved,"Sony Playstation 3,Sony Playstation 4,Xbox 360,Xbox One",General,,17/05/2013,
KILLER IS DEAD,KILLER IS DEAD,,SONY COMPUTER ENTERTAINMENT INC / XSEED GAMES,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",Mature 18,STRONG VIOLENCE AND SEXUAL REFERENCES,01/08/2013,"‘Killer Is Dead’ is an action game set in a futuristic era of extreme technological advancement, where travel to the moon and human body reconstruction is not uncommon. The main character Mondo Zappa is a newly-recruited executioner employed by a state agency, which takes requests to kill and behead criminals and villains all across the world. This game is rated M18 for strong violence and sexual references. The player has to undertake a variety of main missions, in addition to optional side missions. The main character engages enemies in melee combat using a katana and his cybernetic left arm that houses a firearm and other variable weapon attachments. Enemies consist mainly of Cyborgs, creatures as well as human characters. In optional ‘Gigolo Missions’, the player can attempt to enchant and seduce female characters with gifts, in return for intimacy and rewards such as weapons and items. The level of violence is strong and intense, with frequent depictions of dismemberment and decapitation during combat. Several cinematic scenes also depict strong violence where characters are dismembered or decapitated. The guidelines at M18 state that “realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent”. Several female characters are depicted with voluptuous figures and in cleavage-revealing clothing. The optional ‘Gigolo Missions’ mini-games allow the player to peek at female characters’ sensitive body areas such as the cleavage and crotch. The player can obtain and use a pair of X-Ray vision glasses during the mini-games that reveal these females in their lingerie. Successful completion of these mini-games culminates in scenes of intimacy, but there is no actual sex and nudity depicted as the screen blanks out."
MLB 13: THE SHOW,MLB 13 THE SHOW,,SONY COMPUTER ENTERTAINMENT INC.,2013,ASIA,Approved,"Sony Playstation 3,Sony PS Vita",General,,06/02/2013,
BROOKTOWN HIGH,BROOKTOWN HIGH,,KONAMI,2007,US,Approved,Sony Playstation Portable (PSP),General,,30/07/2013,
LEGO MARVEL SUPER HEROES,LEGO MARVEL SUPER HEROES,LEGO MARVEL SUPER HEROES: UNIVERSE IN PERIL,WARNER BROS,2013,ASIA,Approved,"Nintendo DS,Nintendo 3DS,PC,Nintendo Wii U,Sony Playstation 3,Sony Playstation 4,Sony PS Vita,Xbox 360,Xbox One",General,,23/08/2013,
神様と運命革命のパラドクス,KAMISAMA TO UNMEI KAKUMEI NO PARADOX,,NIPPON ICHI SOFTWARE,2013,ASIA,Approved,Sony Playstation 3,General,,10/01/2013,
ALIENS: COLONIAL MARINES,ALIENS: COLONIAL MARINES,ALIENS: COLONIAL MARINES COLLECTOR'S EDITION/LIMITED EDITION,SEGA EUROPE,2013,EURO,Approved,"PC,Sony Playstation 3,Xbox 360",Mature 18,STRONG VIOLENCE AND GORE,08/02/2013,"‘Aliens: Colonial Marines’ is a first-person shooter and science-fiction horror game that is based on the “Aliens” franchise. The player takes on the role of a US marine who has been deployed in response to a distress call sent from a space colony. Communication with an earlier team of marines was lost after they had been sent to extract survivors on the space colony. The player’s team of marines has been tasked to search for any remaining survivors, marines and colonists, and to investigate into the events that had transpired during the loss in communication. This game is classified M18 with the consumer advice “Strong Violence and Gore”. In the game, the player will encounter hostile aliens and human enemies. Realistic injuries, such as dismemberments and decapitations, are depicted when enemies are shot at specific parts of the body. Human corpses can also be further dismembered if attacked. Details such as the flesh and the bone can be seen on the dismembered body part. Highly-explosive weapons will cause human enemies to blow up into chunks of flesh and details such as the internal organs are visible. These detailed depictions of violence often occur with realistic blood effects that stain both the environment and the screen. A cut-scene shows an alien bursting out from a woman’s chest. Blood splatters and a detailed puncture wound are depicted when the alien protrudes from her body. In some areas, the player may come across the dismembered body of a humanoid cyborg lying on the floor, where details such as tubes and white patches of fluid identify it as a cyborg. Alien enemies can perform various fatality moves on human characters, which depict the alien stabbing its tongue into a marine’s face or impaling the marine with the sharp end of its tail. These graphic portrayals of violence coupled with realistic blood effects and detailed injuries is appropriate for an M18 rating. According to the M18 guidelines, “depictions of realistic violence such as killing, maiming or causing other serious injury to humanoid characters, if it is not sadistic, cruel or abhorrent” is allowed. Coarse language is used occasionally in the game and includes the use of words such as ‘motherf**ker’ and ‘f**k’. M18 guidelines permit “frequent use of strong coarse language, such as “mother**ker”, “c*nt” and “c**ksucker””."
REMEMBER ME,REMEMBER ME,,CAPCOM,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",Age Advisory,,29/05/2013,"‘Remember Me’ is an action-adventure game in which the player takes on the role of Nilin, a memory hunter who possesses the ability to extract and alter human memories. Her ability soon attracts the attention of the authorities, who are paranoid that she will use it against the regime. This game is rated with the advisory “Suitable for 16 & Above”. During combat sequences, the player character uses melee moves (e.g. punches and kicks) to battle enemies such as humans and robots. These combat sequences are often stylised with bright lights and do not depict details such as blood or dismemberments. However, during the exploration of various levels in the game, the player may come across human corpses that are strewn on the streets and blood stains on the walls. These environmental elements are non-interactive and do not depict any details. According to the Age Advisory guidelines, “moderate level of violence that is realistic but not excessively graphic may be included in the gameplay”. Coarse language, which includes the use of the word ‘f**k’, is used occasionally by the characters in the game. This is within the Age Advisory guidelines, which allows for “coarse language that is generally limited to the use of words like “f**k”” There are two depictions of female topless nudity, in which details are not portrayed. They include a poster that features a woman with white dots covering her nipples and the concept art of a mutated female human with the left chest exposed. As these depictions do not contain any visible details, they are acceptable under the Age Advisory guidelines which allow for “nudity without details”."
BRAIN AGE: CONCENTRATION TRAINING,BRAIN AGE: CONCENTRATION TRAINING,,NINTENDO OF AMERICA,2013,ASIA,Approved,Nintendo 3DS,General,,14/02/2013,
閃乱カグラ SHINOVI VERSUS 少女達の証明,SENRAN KAGURA SHINOVI VERSUS SHOUJOTACHI NO SHOUMEI,,MARVELOUS AQL,2013,ASIA,Approved,Sony PS Vita,Mature 18,SOME NUDITY,01/03/2013,"‘Senran Kagura Shinovi Versus Shoujotachi no Shoumei’ is an action fighting game where the player can play as several schoolgirls who are ninjas in secret training. The girls do battle against enemies and female Ninjas from other schools. The player has to complete missions in various chapters to progress the storyline. Experience and money is earned through gameplay, allowing the player characters to level up, unlock items and purchase costumes and accessories. This game is rated M18 for some nudity. The protagonists are depicted as voluptuous young girls partaking in the ninja wars. The game features the ""Ninja Turn"" and ""Costume Rip"" systems, which depict the girls in partial nudity during transformation and combat sequences. At the beginning of the stage, the character starts out as a schoolgirl in full uniform, but is able to transform into a ninja to enable more powerful combo moves. During combat, damage received by the player character causes her clothing to rip gradually, revealing the underwear beneath. The clothing can be progressively ripped off with accumulative damage, with only on-screen icons and light strips covering the nipples and genitalia. There is no full nudity in the game, and nipples and genitalia are not depicted. M18 guidelines allow for “Depiction of topless nudity or occasional full frontal nudity, if not exploitative. Nudity should not titillate or be the main feature of the game.”"
DISGAEA D2: A BRIGHTER DARKNESS,DISGAEA D2: A BRIGHTER DARKNESS,,NIPPON ICHI SOFTWARE,2013,"ASIA,US",Approved,Sony Playstation 3,General,,23/08/2013,
PS3 BEST HIT COLLECTION VOL. 1,PS3 BEST HIT COLLECTION VOLUME 1,,SONY COMPUTER ENTERTAINMENT INC,2013,ASIA,Approved,Sony Playstation 3,General,,03/07/2013,
